"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","UI自动化","0","0","alert弹窗","0"
"1","","0","UI自动化","0","0","多窗口","0"
"2","","0","UI自动化","0","0","表单提交","0"
"1","","0","UI自动化","0","0","iframe操作","0"
